改造にあたって、Data Crystalの資料を参照しています。
指定した値をオブジェクトYのアニメーション番号にセットし、 アニメーションフレーム・アニメーションタイマーを0クリアする。
また、オブジェクトXの座標(low,high)に相対座標を加えた座標をオブジェクトYの座標にセットする。
相対座標は符号付整数として扱われ、値は以下のテーブルで定義されている。

$3EB72-3EBCB (5A) = 相対座標番号 : 相対X座標(low)
$3EBCC-3EC25 (5A) = 相対座標番号 : 相対Y座標(low)

さらにオブジェクトYの以下のパラメータを0クリアする。

X座標(fraction)
Y座標(fraction)
Flash Counter
変数A～H


jsr $EC16	オブジェクトXの方向をロックマンの方を向くようにセットする。
オブジェクトXとロックマンのX座標を比較し、 オブジェクトXの方が左にいれば01(右)、そうでなければ02(左)がオブジェクトXの方向にセットされる。
jsr $EC30	オブジェクトXの方向(左右)をグラフィックに反映する。
オブジェクトXの方向が右ならば、Display Flagsのbit5を1、左ならば0にする。
jsr $EC4A	オブジェクトXの方向を左右反転させる(グラフィック含む)。
オブジェクトXの方向の下位2bitを反転させる。 また、Display Flagsのbit5も反転させる。

jsr $EC5B	曲を再生する。
Aレジスタにトラック番号をセットして呼び出す。
そのトラック番号の曲が再生される。$F0を指定すると曲を停止する。
jsr $EC5D	効果音を再生する。
Aレジスタにトラック番号をセットして呼び出す。
そのトラック番号の効果音が再生される。

jsr $EC76	ロックマンとオブジェクトXのY座標を比較する。
AレジスタにロックマンとオブジェクトXのY方向距離が格納される。

ロックマンのY座標 ≧ オブジェクトXのY座標

ならば、キャリーフラグがセットされる。
jsr $EC94	ロックマンとオブジェクトXのX座標を比較する。
AレジスタにロックマンとオブジェクトXのX方向距離が格納される。

ロックマンのX座標 ≧ オブジェクトXのX座標

ならば、キャリーフラグがセットされる。

jsr $ECC2	オブジェクトXからのロックマンの方角を取得する。
オブジェクトXから見たロックマンの方角がAレジスタに格納される。 格納される値は時計回りで、

00 北
01 北北東
02 北東
…
0F 北北西

の16通り。
jsr $ECC4	オブジェクトXからのオブジェクトYの方角を取得する。
オブジェクトXから見たオブジェクトYの方角がAレジスタに格納される。 格納される値は上記を参照。
jsr $F470	方角からオブジェクトXの方向・速度をセットする。
Aレジスタに速さ指定、Yレジスタに方角($00～0F、上記を参照)をセットして呼び出す。
指定した方角に進むようにオブジェクトXの方向・速度がセットされる。 Aレジスタに指定する値は以下の10通り。値の右側の数値は目安の速さ(16進数)。

00 -> 00.40　　08 -> 02.00
10 -> 04.00　　18 -> 01.99
20 -> 01.00　　28 -> 03.00
30 -> 05.00　　38 -> 00.80
40 -> 02.80　　48 -> 08.00

上記のサブルーチンと組み合わせて使うことでホーミングする弾などを実現できる。

jsr $EF87	オブジェクトXとロックマンの接触判定を行う。
オブジェクトXとロックマンが接触しているかを判定する。 接触していた場合、キャリーフラグがクリアされる。
jsr $EFF8	オブジェクトXと武器の接触判定を行う。
オブジェクトXとインデックス$01～03のオブジェクト(ロックバスターや各種特殊武器)が接触しているかを判定する。 接触していた場合、キャリーフラグがクリアされ、Yレジスタと$10に接触したオブジェクトのインデックスが格納される。

jsr $F15F	オブジェクトメモリ領域を確保する(Xレジスタ)。
Xレジスタに空いているオブジェクトメモリ領域のインデックスが格納される($08～17)。 確保できなかった場合はキャリーフラグがセットされる。 このサブルーチン呼び出し後はキャリーフラグのチェックを忘れずに。
jsr $F16F	オブジェクトメモリ領域を確保する(Yレジスタ)。
Yレジスタに空いているオブジェクトメモリ領域のインデックスが格納される($08～17)。 確保できなかった場合はキャリーフラグがセットされる。 このサブルーチン呼び出し後はキャリーフラグのチェックを忘れずに。

jsr $F207	割り算 $00 / $01 を行う。
1byteの値同士の割り算 $00 / $01 を行う。商は$02、余りは$03に格納される。
jsr $F22D	割り算 $00-01 / $02-03 を行う。
2bytesの値同士の割り算 $00-01 / $02-03 を行う(リトルエンディアン)。 ここで、$00,$02は整数部、$01,$03は小数部である。 商は$04-05に格納される。ここで、$05は整数部、$04は小数部である。 このサブルーチンでは、演算結果が$100(=256)以上となる場合、正常な結果が返らないことに注意。

jsr $F297	アイテム回収フラグをセットする。
オブジェクトXに対して回収フラグをセットする。 回収フラグがセットされた設置型オブジェクトは出現しなくなる。

jsr $F2C4	インデックスXのオブジェクトを消去する。
オブジェクトXをオブジェクトメモリから消去する。
jsr $F2FE	インデックスYのオブジェクトを消去する。
オブジェクトYをオブジェクトメモリから消去する。

jsr $FF3D	プログラムバンクを連番で切り替える。
Aレジスタにバンク番号をセットして呼び出す。
$8000-9FFFにバンク[Aレジスタの値]、$A000-BFFFにバンク[Aレジスタの値 + 1]をマップする。
jsr $FF43	プログラムバンクを切り替える。
$F5に$8000-9FFF、$F6に$A000-BFFFにマップしたいバンク番号をセットして呼び出す。
片方のみ切り替えたい場合は、切り替える方のバンク番号のみをセットすればよい。 

-----------------------------------------------------------------------------

ロックマン5のスレッドに関する記述です。

ロックマン5では、ステージやパレットアニメーションの処理等をスレッドで管理している。

$80-8F スレッドの状態管理
4bytesで1組。0～3の4つまでのスレッドの状態を管理できる。

byte0   -> スレッドの状態
byte1   -> スレッドのスリープタイマー
byte2-3 -> スレッドの状態が休止中ならばbyte2にスレッドのスタックポインタが格納される。
           新規登録されたスレッドならばbyte2-3にスレッドハンドラのアドレスが格納される。


スレッドの状態
00	未使用
01	休止状態のスレッド。NMIの度にスリープタイマーがデクリメントされ、0になったときに実行可能状態(04)へ遷移する。
02	実行中のスレッド。スレッド休止ルーチン($FF22,$FF24)を呼び出すことで休止状態(01)へ遷移する。
04	実行可能なスレッド。実行時に実行状態(02)へ遷移する。
08	新規登録されたスレッド。実行可能でもある。実行時に実行状態(02)へ遷移し、スレッドハンドラへジャンプする。

スレッド関係のサブルーチン
jsr $FF22	実行中のスレッドを休止する。
スリープタイマーに#$01をセットしてスレッドを休止状態にする(つまり、次のNMIが終了するまで待つ)。
その後、スレッドの状態監視ループに入り、実行可能なスレッドが見つかればそのスレッドを実行する。
jsr $FF24	実行中のスレッドを休止する。
Aレジスタの値をスリープタイマーにセットしてスレッドを休止状態にする。
その後は同上。
スリープタイマーは、デクリメント後に0かどうかのチェックが行われるため、Aレジスタに#$00をセットして 呼び出した場合256回NMIの終了を待つことになる。
jsr $FEF3	スレッドを新規登録する。
$93-94にスレッドハンドラのアドレス、 Aレジスタにスレッドの状態管理に使用するスロット(0～3)をセットして呼び出す。
jsr $FF03	スレッドを終了する。
Aレジスタで指定した番号(0～3)のスレッドを終了する(スレッドの状態に00を格納する)。
jmp $FF0B	実行中のスレッドを終了する。
実行中のスレッドを終了し、スレッドの状態監視ループに入る。 

----------------------------------------------------------------------------

特に分類なしのデータなど


◇クリアしたステージでボス出現
例えば、
$142ED: 25 → A9
$142EE: 6E → 00

◇はしごを昇降する速度
  ・はしご頂上から降りてきたとき
  $3617E 速度(low)
  $36183 速度(high)

  ・はしごにつかまったとき
  $3764A 速度(low)
  $3764F 速度(high)

◇ノックバック・無敵時間
$36476 ノックバック速度(low)
$3647B ノックバック速度(high)
$36499 ノックバック方向と逆方向に十字キーを入力した時のノックバック速度(low) (highの指定なし)

$364D7 ノックバック時間(アニメーションフレームの値で指定するため09が上限)
$364DB ノックバック終了からの無敵時間

◇ロックバスターの速度
通常のバスター, 中途半端なチャージ, チャージショットの順
$375AA-375AC 速度(low)
$375AD-375AF 速度(high)

◇ベルトコンベアの速度
$3768D 速度(low)
$37691 速度(high)

◇ロックバスターの攻撃力
$38115 ロックバスター・中途半端なチャージ
$38119 チャージショット
$3820C 敵を倒したとき、チャージショットが貫通しないHPの下限

  ・ロックバスターの攻撃力を敵毎に指定
  例えば、
  $38110-38115 : 48 A5 5B C9 0E 68
  で、ロックバスター・中途半端なチャージの攻撃力が$810-90Fで
  指定可能になる…ハズ(チャージショットは無関係)

  ・ロックバスターとチャージショットの攻撃力を敵毎に独立に指定
  例えば、
  $3810B-3811A : A5 5B C9 0E 90 0B A9 0D 85 F6 20 43 FF 4C 0C 81
  で、ロックバスター・中途半端なチャージの攻撃力が$810-90F、
  チャージショットの攻撃力が$1A810-1A90Fで指定可能になる。

◇ 各ステージの音楽トラック番号
$3D4E2-3D4F1 (10) = ステージ番号 : トラック番号

◇ライフゲージのX座標
$3E2F4-3E2F6 ライフゲージ, 武器ゲージ, ボスゲージの順


◇敵の無敵時間
$38199 ザコ敵の無敵時間
$381AB ボスの無敵時間

--------------------------------------------------

グラビティーマンステージの仕掛け


◇BGアニメーション
こちらを参照。


◇ボス部屋での重力反転処理
ボス部屋に入ると、直前の重力反転の有無に関係なく強制的に重力反転状態となる。
これを無効にするには、例えば
$142C7 : A5 -> A9
とすればよい。

-------------------------------------------------------

ウェーブマンステージの仕掛け


◇上昇する泡
マップに泡生成オブジェクト(EnemyID:4A)を設置して利用する。

・$A370-A374 (5) 生成される泡のアニメーション番号(63 -> 大きな泡, 65 -> 小さな泡、ここを変更したら下のSprite flags, Enemy handlerも一緒に変更すべき)
・$A375-A379 (5) 生成される泡のX座標 (Y座標は泡生成オブジェクトのY座標がコピーされるため指定無し)
・$A37A-A37E (5) 生成される泡のSprite flags
・$A37F-A383 (5) 生成される泡のEnemy handler(low)
・$A384-A388 (5) 生成される泡のEnemy handler(high)

・$A389-A38B (3) 部屋番号毎の泡生成順序


・泡生成オブジェクトを設置する最初の部屋番号
$A2FDに($79 - 部屋番号)で指定する。(例えば、部屋番号08に設置するなら$79 - $08 = $71を指定)
$A34Eに部屋番号で指定する。ここで指定した部屋番号で生成される大きな泡は膨らむアニメーション有り。


・$A303 最初の泡が生成されるまでのフレーム数
・$A368 泡の生成時間間隔(フレーム数で指定)


・泡の上昇速度
$A23C 大きな泡(low)
$A241 大きな泡(high)
$A2A8 小さな泡(low)
$A2AD 小さな泡(high)

・$A2E3 小さな泡に乗ってから割れるまでのフレーム数



◇水上バイク地帯
・3C9F0 強制スクロールを行うステージ番号

・強制スクロール＆ラスタースクロールを行うスクロール番号
$3C9F8 1個目
$3C9FC 2個目

・強制スクロールの速度
$3CA18 ロックマンのX座標に加算する値(強制スクロール速度と合わせておくのが無難)
$3CA3B 強制スクロール速度

・強制スクロール終了部屋番号
$3CA2D 1個目
$3CA31 2個目

・$3645C 水上バイクから降りる部屋番号
・$36464 降りる直前の水上バイクの速度(low)
・$36469 降りる直前の水上バイクの速度(high)
・$36757 水上バイクから降りた後、自動で歩くのをやめる部屋番号

----------------------------------------------

ストーンマンステージの仕掛け


◇壊せるブロック

・$3B0F1-3B100 (10) ステージ番号 : 壊せるブロックの種類(*)

(*)壊せるブロックの種類
00 -> 無効
01 -> ストーンマンステージタイプ(破壊情報が保持される)
02 -> ワイリーステージ1タイプ(スクロール毎に破壊情報がリセットされる)(**)
03 -> ブルースステージ4タイプ

・$3B0BD-3B0F0 ストーンマンステージタイプのブロック破壊データ
4bytesで1組のデータ。1組でブロック1個の情報を定義する。
ここを設定しないと、チップ属性3xのチップをロックバスターで撃ってもエフェクトのみで破壊されない。
また、ここで設定してもその位置にチップ属性3xのチップが無ければ破壊されない。

byte0 -> ブロックのある部屋番号
byte1 -> 32x32チップ単位でのブロックの位置(00-3F)
byte2 -> その32x32チップ内でのブロックの位置(左上 -> 00, 右上 -> 01, 左下 -> 02, 右下 -> 03)
byte3 -> 破壊後の16x16チップ番号


(**)ワイリーステージ1タイプの破壊できるブロック
ワイリーステージ1タイプでは、設定は特に必要ない。(破壊後の16x16チップ番号は00)
簡単に設置できるが破壊情報の保持は2画面分(偶数部屋番号と奇数部屋番号)しか持たず、スクロール(エリア間移動の意味)しないと
破壊情報はリセットされないため、3画面以上の横長のエリアに設置されたブロックを破壊するとちょっとおかしなことになる。
(ワイリーステージ1では画面のスクロール度合いに応じて破壊情報をクリアする処理が実行されている)

-------------------------------------------------------------------------

ジャイロマンステージの仕掛け


◇落下するブロック
・$377F5 使用するステージ番号
正確にステージ番号とするならついでに
377F3 : 27 -> 26
と変えた方が良いかも。


・$3782E 生成したブロックのY座標
チップ属性3xのブロックに乗った際にブロックオブジェクトが生成されるが、そのオブジェクトのY座標はここで固定されている。
そのため、マップ作成で落下ブロックをどの高さに配置しても落下するブロックオブジェクトの生成位置は変わらない。
以下、ブロックの配置位置を考慮するようなコードを例示する。

$3782D-3782F : 4C F4 9F
$38004-3800F : A5 11 29 F0 09 08 99 78 03 4C 22 98

<!--
BANK 1B
981D:
4C F4 9F jmp $9FF4

9FF4:(BANK 1Bは$9E70-9FFFが(多分)未使用)
A5 11    lda $11
29 F0    and #$F0
09 08    ora #$08
99 78 03 sta $0378,y
4C 22 98 jmp $9822
-->

ブロックオブジェクトは落下してもX座標が画面外に出るまでは消えないので、1画面中に落下ブロックを配置し過ぎると
オブジェクトメモリを圧迫し他のオブジェクトが出現しない・ブロックが落下しない等の影響が出る可能性があるので注意した方がいいです。


・$37838 ブロックが落下するまでのフレーム数


◇エレベーター(ステージ後半)
・elevator border非表示
$3DF76 : A5 -> A9
$3DF77 : 74 -> 00

・$A113 エレベーターの土台が描かれた部屋番号
・$A143 エレベーターオブジェクトを設置した部屋番号+1を指定
・$A156 エレベーターの上昇速度

・$A16D エレベーター上昇後のマップが描かれた部屋番号
・$A171 エレベーター上昇後の次の部屋番号
・$A17F エレベーター上昇後にセットするArea number(*)
・$A187 エレベーター上昇後にセットする部屋番号

・$377DF-377EE (10) = ステージ番号 : ステージ毎の圧死判定の有無(00で無効, FFで有効)
・$3D0DC-3D0EB (10) = ステージ番号 : エレベータを設置した部屋のArea number(*)
・$3D0EC-3D0FB (10) = ステージ番号 : 上昇後の次の部屋番号(上昇終了の判定に使用)
・$3D0FC-3D10B (10) = ステージ番号 : 上昇後のマップが描かれた部屋番号

(*)Area numberの指定
bit7-5 -> スクロール方向(001 -> 右, 010 -> 下, 100 -> 上)
bit4-0 -> スクロール番号

エレベーター上昇中は部屋番号が変わっていないことになるので、その間にオブジェクトを設置しても出現しないことに注意。
他ステージへのエレベータ設置例

-----------------------------------------------------------------------

スターマンステージの仕掛け


◇低重力
スターマンステージでは、Y方向移動ルーチンにおいてY方向速度への重力値の加算を3フレームに1度しか行わないことで低重力を実現している。
(ただし、重力反転時にはこれは適用されず毎フレーム重力が加算される)

・$376F8 低重力にするステージ番号
ブルースステージ1or4,ワイリーステージ3or4を低重力とするならついでに
376F6 : 27 -> 26
と変えた方が良いかも。


・$37741 重力値を加算するまでのフレーム数((*)ワイリーステージ2の水中処理も共有)


(*)ワイリーステージ2の水中処理
低重力処理と同じ。

・$37706 水中属性チップを使用するステージ番号

--------------------------------------------------------------------------

チャージマンステージの仕掛け


◇Bump(ガタンゴトンの効果音・Y方向への画面揺れ)処理

・$37779 Bump処理を行うステージ番号
・$3777F Bump処理を行わない部屋番号(ここで指定した部屋ではBump処理無効)
・$37783 Bump処理を行わない部屋番号(ここで指定した値未満の部屋ではBump処理無効)


◇画面左端8ピクセルに描画を行わない部屋番号
・$3CB50 ステージ番号
・$3CB56 部屋番号(1個目)
・$3CB5A 部屋番号(2個目)

部屋番号にはラスタースクロールを行っているエリア(EnemyID:4Dのオブジェクトを設置)の終端部屋番号+1を指定する。
適切な値を指定しないと下のように画面左端8ピクセルに描画された次の部屋のチップの一部が表示されてしまうので注意。



◇電車内に入る処理
EnemyID:40のオブジェクトを設置すればよい。オブジェクトと接触することで処理が始まる。
処理の流れとしては、

画面フェードアウト→普通に下スクロール→BG用パレット・CHR-BANKの変更→画面フェードイン・ロックマンのX座標調整

のようになっている。

・$36F0B-36F1A (10) 電車内のBG用パレット
・$36622 電車内のBG用CHR-BANK (BGバンク1)
・$36639 電車内に入った直後のロックマンのX座標(low)

----------------------------------------------------------------------------

クリスタルマンステージの仕掛け


◇落下するクリスタル

・3A82F 落下開始Y座標
・3A83E-3A841 落下開始までのフレーム数(ここからランダムに選択される)

落下開始時のY座標は固定されている。
オブジェクト設置時のY座標を落下開始位置とするようなコードを以下に例示する。

3A7CE-3A83D (70)
BD 68 04 F0 05 DE 68 04 D0 65 20 1E EA 20 25 A8
A9 D9 9D 88 05 BD 78 03 9D 80 04 20 68 E9 20 F8
EF B0 23 BD 38 04 48 BD 80 04 48 A9 00 85 00 20
9D 80 68 9D 80 04 68 9D 38 04 BD 00 03 D0 07 A9
26 9D 00 03 D0 07 BD 78 03 C9 E8 90 22 BD 80 04
9D 78 03 A5 E6 65 E5 85 E6 29 03 A8 B9 2E A8 9D
68 04 A9 00 9D A0 05 BD 28 05 49 04 9D 28 05 60

------------------------------------------------------------------------

ブルースステージ1の仕掛け


◇ブーンブロック
・$3BB04-3BB05 (2) $3BB06を基点としたブーンブロック出現データへの1byte相対アドレス

・$3BB06-3BB4A ブーンブロック出現データ
3bytesで1組のデータ。1組で1個のブロックの出現データを表す。
byte0 -> X座標
byte1 -> Y座標
byte2 -> 同時に出すブロックがあるか
  00 -> 同時に出すブロックはもう無い
  01 -> 同時に出すブロックがまだある
  FF -> データ終端(出現データの先頭に戻る)

例えば、以下のデータだと、
38 98 01 98 B8 00 38 68 01 78 A8 00 48 A8 FF

+→(38, 98), (98, B8)にブロック出現 (38 98 01 98 B8 00)
|    ↓
|  (38, 68), (78, A8)にブロック出現 (38 68 01 78 A8 00)
|    ↓
|  (48, A8)にブロック出現 (48 A8 FF)
|     |
+-----+
のようになる。

ブーンブロック(EnemyID:58)は、設置部屋番号を元に参照するデータが決まる。
$3BBF3 + 設置部屋番号 で上記のブロック出現データへの相対アドレスを取得するため、そのままでは部屋番号#$11以降に設置しなければ正常に動作しない。
ここでは、設置部屋番号ではなく設置Y座標によってブロック出現データへの相対アドレスを取得するような変更を例示する。

$3BAA2 : 48 -> 78 (設置部屋番号ではなく設置Y座標を参照するようになる)
$3BAA5 : E3 -> F4 (設置Y座標=00で$3BB04, 01で$3BB05,...を参照するようになる)

--------------------------------------------------------------------------

ブルースステージ3の仕掛け


◇進むブロック
・$A78D-A7DE ブロック出現データ
2bytesで1組のデータ。1組で進行方向のブロック出現データを表す。
byte0 -> ブロックを出す数
byte1 -> 進行方向(01->右、02->左、04->下、08->上、00->データ終端)

例えば、以下のデータだと、
02 08 09 01 02 08 06 01 01 08 05 01 03 08 02 01 02 04 00 00

　　　　　　　　　　　　　　　　　　　　→→↓
　　　　　　　　　　　　　　　　　　　　↑　↓
　　　　　　　　　　　　　　　　　　　　↑
　　　　　　　　　　　　　　　→→→→→↑
　　　　　　　　　→→→→→→↑
　　　　　　　　　↑
→→→→→→→→→↑
↑
↑

のようになる。
なお本編では、$A78D～A7B2までが1つ目の定義、$A7B3($A78D + $26)～A7DEまでが2つ目の定義となっている。
2つ目の定義のアドレスを変更する場合は、下記の「2つ目の定義の開始オフセット」を参照すること。

・$A57C、$A63E 1つ目の定義を使用する部屋番号(変更する場合、2箇所両方とも変えること)
ここで設定した以外の部屋番号にオブジェクトを設置した場合、2つ目の定義が参照される。

・$A580、$A642 2つ目の定義の開始オフセット(変更する場合、2箇所両方とも変えること)
$A78D + ここで設定した値 が2つ目の定義の開始アドレスとなる。

-----------------------------------------------------------------------

ボスの動作パラメータなど

◇グラビティーマン
・グラビティーマンの移動データ(12回で1セット)
$E255-E260 進行方向(01 -> 右, 02 -> 左, 04 -> 下, 08 -> 上)
$E261-E26C アニメーション番号(01 -> ジャンプ, 02 -> 歩行, 04 -> 重力反転)(実際にこの番号に従って行動する)
$E26D-E278 X方向速度(low)
$E279-E284 X方向速度(high)
$E285-E290 移動後のX座標(上の速度と対応)
(登場位置から重力反転)→D0→(歩行)→80→(重力反転)→80→・・・→D0

$E297-E299 弾を撃つアニメーションになるまでのフレーム数
$E1EE 弾を撃つアニメーションになってから実際に弾を撃つまでのフレーム数
　弾が1発で物足りない場合は、
　E1ED : C9 -> 29
　E1EE : 08 -> 01, 03, 07, 0F 等にしてみると良いかも

$E226 グラビティーマンの弾の速度(サブルーチン$F470の引数)



◇ウェーブマン
・噴水の出現X座標
$E595-E59C 相対X座標(low)
$E59D-E5A4 相対X座標(high)
ロックマンのX座標からの相対座標。8個のデータの中からランダムに選択される。

・モリの速度
$E531 X方向速度(low)
$E556 X方向速度(high)



◇ストーンマン
・遠距離からの次の動作(小ジャンプorパワーストーン生成)の選択確率
$C04E 小ジャンプの確率(00で必ず小ジャンプ, 01で1/2, 03で1/4, 07で1/8, 0Fで1/16くらい)
$C04F F0 -> D0で確率反転

・中距離からの次の動作(小ジャンプorパワーストーン生成or大ジャンプ)の選択確率
$C040 小ジャンプの確率(00で必ず小ジャンプ, 01で1/2, …)
($C041 F0 -> D0で小ジャンプをしない確率になる)
$C046 小ジャンプをしなかった時、パワーストーンを生成する確率(00で必ずパワーストーン, 01で1/2, …。パワーストーン生成を行わなければ大ジャンプ)
($C047 F0 -> D0, $C049 D0 -> F0でパワーストーンを生成しない確率になる)

・近距離からの次の動作(小ジャンプor大ジャンプ)の選択確率
$C038 小ジャンプ確率([この値]/8 くらいの確率で小ジャンプ)

・遠・中・近距離の基準となる値
$C02C ロックマンとストーンマンとの距離がこの値以上ならば遠距離
$C030 ロックマンとストーンマンとの距離がこの値以上ならば中距離
それ以外ならば近距離

$C15D 崩れた状態から元に戻った後、次の動作までのフレーム数

$C1FD パワーストーンの速度(サブルーチン$F470の引数)



◇ジャイロマン
・地面にいる時の次の動作(飛び上がるorプロペラ発射)の選択確率
$C47B プロペラ発射確率(00で必ず発射, 01で1/2, 03で1/4, 07で1/8, 0Fで1/16くらい)
$C47C D0 -> F0で確率反転

・ジャイロマンの飛び上がる速さ
$C511 Y方向速度(low)
$C516 Y方向速度(high)

$C4F3 アニメーション番号#$15(背中のプロペラ回る)に変化後、飛び上がるまでのフレーム数
$C596 着地後、次の行動に移るまでのフレーム数

・プロペラの停止フレーム数
　$C61F →・[停止]・↑
　$C63C ↓・[停止]・→

・プロペラの速さ
　$C4C8 →・[停止]・↑
　$C553 ↓・[停止]・→



◇スターマン
$10218 離れているor離れていないの基準となる値(スターマンの行動に関係。離れていれば遠距離ジャンプ, そうでなければ近距離ジャンプ)

$10253 近距離ジャンプ時にバリアを発射しない確率(00で発射しない, 01で1/2, 03で1/4, 07で1/8, 0Fで1/16くらい)
$10254 D0 -> F0で確率反転

$102D8 近距離ジャンプ後にバリアを発射しない確率(00で発射しない, 01で1/2, …)
$102D9 F0 -> D0で確率反転

$103A9 バリアの発射速度(サブルーチン$F470の引数)



◇チャージマン
$C212 離れているor離れていないの基準となる値(石炭を落とした後の行動に関係、離れていればダッシュ, そうでなければ歩行)

・チャージマンのダッシュ時の速度
$C25E X方向速度(low)
$C263 X方向速度(high)
$C272 ダッシュするフレーム数に関係([ロックマンとチャージマンのX方向距離] / [この値] フレームだけダッシュする。)

・チャージマンの歩行速度
$C2EE X方向速度(low)
$C2F3 X方向速度(high)

・歩行時の方向転換判定の間隔
$C2FD 方向転換判定を行うまでのフレーム数
$C31B 方向転換判定を行うまでのフレーム数

・歩行状態から次の行動(ダッシュor石炭を落とす)の選択確率
$C334 ダッシュする確率(00で必ずダッシュ, 01で1/2, 03で1/4, 07で1/8, 0Fで1/16くらい)
$C335 D0 -> F0で確率反転
$C2F8 歩行から次の行動(ダッシュor石炭を落とす)に移るまでのフレーム数

$C409 石炭を落とす数(実際の個数より1小さい値を指定, 03以上を指定すると石炭のX座標テーブルをはみだすので一応注意)
$C44D-C464 石炭のX座標テーブル(3bytesで1組のデータ。8通りのデータが定義されており, この中からランダムに選択される)



◇ナパームマン
$10014 離れているor離れていないの基準となる値(ナパームマンの行動に関係。離れていればミサイル, そうでなければナパームボム)

$10039 ミサイルの発射回数
$1005F ミサイル発射後のジャンプの高さ(00～03で指定, 01＞03＞00＞02の順で高い)
$1005B 4A -> EAでミサイル発射後にロックマンの位置までジャンプ
$10083 ミサイル発射後、ジャンプ動作に移るまでのフレーム数

$10118 ナパームボムの個数(実際の個数より1小さい値を指定, 02以上を指定すると出現位置が多少おかしいものも出てくるので一応注意)
$10157 ナパームボムの投げ上げ速度(00or01で指定, 01＞00の順で高い)
$10190 ナパームボム発射後のジャンプの高さ(00～03で指定, 01＞03＞00＞02の順で高い)

・ミサイルの速度
$100B0 X方向速度(low)
$100B5 X方向速度(high)



◇クリスタルマン
・クリスタルマンの速度(それぞれロックマンとのX方向の距離が一定以上離れているor離れていないの順にデータが入っている)
$E43C-E43D Y方向速度(low)
$E43E-E43F Y方向速度(high)
$E440-E441 X方向速度(low)
$E442-E443 X方向速度(high)
$E2AE 離れているor離れていないの基準となる値

$E401 クリスタルマンの反射する弾の速度(サブルーチン$F470の引数)
$E431 クリスタルマンの通常弾の速度(サブルーチン$F470の引数)

・反射する弾生成
$E3DF 1個目の弾の方向
$E40E 前の弾の方向から見た次の弾の方向
$E409 最後の弾の方向
方向は、00～0F(時計回りで 00 -> 真上 01 -> 北北東 02 -> 北東, ... 0F -> 北北西)。
$E3DFの値に$E40Eの値を繰り返し加算すると$E409の値となるように$E409の値を定めなければならない。
例えば($E3DF, $E40E, $E409) = (00, 02, 0E)で8way、(04, 02, 0C)で5wayとなる。



◇ダークマン1号
・こちらの攻撃に関係なく撃ってくる弾
$12300、$123FB 弾を撃つまでのフレーム数(両方とも同じ値を入れること)
$123BE X方向速度(low)
$123C3 X方向速度(high)

・ダメージを受けた時に撃ち返してくる弾
$123D1 弾の速度(サブルーチン$F470の引数)

・ダークマン1号の速度アップ関係
$12339 ダークマン1号が速度アップする残りHPその1(このHP未満になると以下で指定した速度になる)
$12348 速度アップ(その1)後のX方向速度(high) ※lowの指定はない
$1233D ダークマン1号が速度アップする残りHPその2(このHP未満になると以下で指定した速度になる)
$12341 速度アップ(その2)後のX方向速度(high) ※lowの指定はない
       ただし00を指定すると、速度アップ(その1)の値が使われる

$12364 ロックマンとの向きが変わった時、方向転換して動き出すまでのフレーム数


--------------------------------------------------------------

ザコ敵等の動作パラメータなど

◇プカプッカー(EnemyID:00 | 本体 -> ObjectID:10, 頭 -> ObjectID:11)
・$38A83 プカプッカーの頭のHP
・$38A9E プカプッカーの頭のY方向速度(low) (体破壊前)
・$38AA3 プカプッカーの頭のY方向速度(high) (体破壊前)
・$38AA8 プカプッカーの頭のX方向速度(low) (体破壊後)
・$38AAD プカプッカーの頭のX方向速度(high) (体破壊後)
・$38B5A プカプッカーの頭のX方向速度(low) (体破壊後)
・$38B5F プカプッカーの頭のX方向速度(high) (体破壊後)

・$38ACE プカプッカーが方向転換するまでのフレーム数(初期値)
・$38AE8 プカプッカーが方向転換するまでのフレーム数(方向転換する度にセットされる値)

プカプッカー本体のX方向速度は設置オブジェクト初期値で設定する。


◇コーカーＱ(EnemyID:01 | ObjectID:12)
コーカーＱから見たロックマンのいる方角(こちらを参照)が下の値となった時、落下状態に移る。
・$39032 1個目
・$39036 2個目

コーカーＱのX方向速度は設置オブジェクト初期値で設定する。


◇ボンビャー(EnemyID:02 | 本体 -> ObjectID:13, 爆弾 -> ObjectID:14)
・$38DFC ロックマンとのX方向距離がこの値未満になったときに爆弾を生成
・$38E44 ボンビャーの爆弾のHP

ボンビャーのX方向速度は設置オブジェクト初期値で設定する。


◇スペースメットール(EnemyID:03 | ObjectID:15)
・$3916A 近距離時の速度(サブルーチン$F470の引数)

遠距離時の速度
・$3919E X,Y方向速度(low)
・$391A6 X,Y方向速度(high) 

近距離・遠距離を決定する値(ロックマンとのX,Y方向距離が共にこの値未満のとき近距離)
・$39147 X方向距離
・$3914E Y方向距離


